nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Ge76,0.261046,0.000173713,2.71971e-07,4.00221e-08,8.26388e-08,0.0,0.0
As73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As75,11.7191,6.93927e-05,0.000134443,7.37826e-06,2.83721e-09,0.0,0.0
Se74,97.7643,9.05994e-06,0.00496449,0.0011965,0.0,0.0,0.0
Se75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se76,5.89156,3.8331e-05,0.000155999,6.52078e-05,4.39252e-10,0.0,0.0
Se77,5.32422,0.000958115,0.000253732,0.000225495,4.40128e-09,0.0,0.0
Se78,0.918795,7.3972e-05,5.20576e-06,4.1695e-06,2.67677e-08,0.0,0.0
Se79,10.278,0.00157927,7.14211e-06,2.18137e-05,3.76339e-08,0.0,0.0
Se80,0.182105,0.00014285,1.31797e-06,2.53226e-06,1.02517e-07,0.0,0.0
Se81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se82,0.0445595,0.000220923,1.08512e-07,1.31792e-08,2.80516e-07,0.0,0.0
Br79,23.3573,5.38339e-05,0.0012983,1.39019e-05,1.70594e-09,0.0,0.0
Br80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br81,9.13276,9.98178e-05,6.28861e-05,8.69288e-07,1.81964e-08,0.0,0.0
Kr78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kr79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kr80,11.0015,2.87671e-05,0.00032722,4.94677e-05,0.0,0.0,0.0
Kr81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kr82,26.0651,5.02051e-05,2.25785e-05,5.59125e-06,3.84319e-09,0.0,0.0
Kr83,29.9078,0.00072451,3.4351e-05,1.62675e-06,7.24038e-10,0.0,0.0
Kr84,0.418556,6.87487e-05,1.94714e-06,3.63543e-07,1.87738e-08,0.0,0.0
Kr85,0.534712,0.000352916,1.54393e-06,3.29461e-07,7.8416e-09,0.0,0.0
Kr86,0.00425885,0.000116666,3.30238e-07,6.35542e-08,5.09722e-08,0.0,0.0
Rb85,1.51087,6.93465e-05,0.000117077,1.20523e-06,1.10636e-10,0.0,0.0
Rb86,7.05027,0.000221099,0.000135267,1.82462e-06,3.79054e-11,0.0,0.0
Rb87,0.52256,0.000133368,1.99797e-06,2.37646e-07,3.89657e-09,0.0,0.0
Sr84,2.26083,1.55337e-05,0.0010675,2.62855e-05,0.0,0.0,0.0
Sr85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sr86,0.939514,3.38294e-05,0.000155542,1.61177e-06,0.0,0.0,0.0
Sr87,16.7847,0.000430551,0.000172369,7.70015e-06,0.0,0.0,0.0
Sr88,0.00766051,3.94042e-05,1.85164e-06,1.30279e-07,4.73223e-12,0.0,0.0
Sr89,0.0724099,0.00205507,8.88794e-07,1.00365e-06,2.87336e-08,0.0,0.0
Sr90,0.0191883,0.000816221,2.80081e-07,1.88275e-07,1.23519e-06,0.0,0.0
Y89,0.140704,3.44543e-05,7.84512e-05,7.42598e-07,0.0,0.0,0.0
Y90,0.435975,0.000863351,0.0,0.0,2.82709e-09,0.0,0.0
Y91,0.533569,0.000695315,2.75154e-06,8.56312e-07,6.9845e-07,0.0,0.0
Zr90,0.0342604,2.04678e-05,0.0,0.0,0.0,0.0,0.0
Zr91,1.14653,0.00056909,0.0,0.0,0.0,0.0,0.0
Zr92,0.138884,0.000361065,0.0,0.0,7.32181e-08,0.0,0.0
Zr93,3.3322,0.000954767,0.0,0.0,2.301e-07,0.0,0.0
Zr94,0.0670243,0.00057502,0.0,0.0,2.9298e-07,0.0,0.0
Zr95,1.47969,0.00158647,0.0,0.0,6.80624e-07,0.0,0.0
Zr96,0.998263,0.000811551,0.0,0.0,6.22101e-07,0.0,0.0
Nb93,1.91889,0.000306134,7.56248e-05,3.66891e-05,6.76477e-08,0.0,0.0
Nb94,20.3524,0.00121855,0.000121559,3.07827e-05,2.24717e-07,0.0,0.0
Nb95,7.53659,0.000494508,1.51345e-05,6.05858e-06,3.54711e-07,0.0,0.0
Mo92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo94,0.295824,0.000137203,8.63972e-05,0.000274327,8.49808e-09,0.0,0.0
Mo95,18.4223,0.000582185,1.48498e-05,0.000615855,2.22839e-08,0.0,0.0
Mo96,3.29769,0.000245217,5.87104e-06,2.32145e-05,7.43986e-08,0.0,0.0
Mo97,3.32811,0.00101774,3.99751e-06,2.93714e-05,2.01258e-07,0.0,0.0
Mo98,1.22603,0.000406231,4.69917e-07,2.35988e-06,2.3019e-07,0.0,0.0
Mo99,7.46611,0.00524507,6.90982e-07,2.16064e-06,1.34961e-06,0.0,0.0
Mo100,0.758224,0.000507804,1.02753e-07,3.85395e-07,7.22203e-07,0.0,0.0
Tc98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tc99,46.5405,0.000259089,4.78739e-06,2.56216e-06,2.83503e-07,0.0,0.0
Ru96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ru97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ru98,2.05713,8.66978e-05,0.000121583,0.000183161,2.64348e-08,0.0,0.0
Ru99,28.7212,0.000970372,0.000102265,0.000400315,4.30379e-08,0.0,0.0
Ru100,1.89231,0.000210894,4.5056e-06,1.88359e-05,1.43758e-07,0.0,0.0
Ru101,19.3659,0.00110991,6.05495e-06,7.24439e-06,5.20145e-08,0.0,0.0
Ru102,1.01601,0.000192138,5.94205e-07,5.92907e-06,1.03468e-07,0.0,0.0
Ru103,8.51427,0.00219839,2.84909e-06,3.01053e-06,1.67775e-07,0.0,0.0
Ru104,1.27344,0.000365522,4.47641e-07,2.35158e-07,4.18747e-07,0.0,0.0
Ru105,1.3667,0.00297487,1.96131e-06,9.04475e-07,6.28769e-07,0.0,0.0
Ru106,0.402176,0.00066399,1.68122e-07,3.43937e-08,2.05815e-06,0.0,0.0
Rh103,141.942,0.000207187,3.80543e-05,2.95074e-06,4.74637e-08,0.0,0.0
Rh104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rh105,2274.78,0.000234613,5.10741e-06,7.51815e-07,2.35355e-07,0.0,0.0
Pd102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd104,4.05336,0.000122836,4.00036e-05,4.62624e-05,9.78604e-09,0.0,0.0
